SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,PEERS_TIER1,PEERS_TIER2,PROXY_AVAILABLE,ASSIGNMENT_STATUS,VOLUME_INFO_ONLY,LIQUID_INFO_ONLY,LTP,NAV,I_NAV,NOTE
TATAGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,37551457,YES,14.63,14.69,14.56,
GOLDBEES,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,22769280,YES,124.41,124.93,124.52,
GOLDCASE,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,7572400,YES,23.69,23.79,23.68,
GOLDIETF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,6497359,YES,128.84,129.42,128.38,
SETFGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,4118582,YES,128.31,128.85,128.34,
HDFCGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,3431561,YES,128.61,129.12,127.96,
GOLDAXIS,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,2563650,YES,125.22,125.88,123.96,
GROWWGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,2353265,YES,14.69,14.76,14.70,
GOLDADD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,2316676,YES,14.59,14.68,14.64,
GOLD1,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,2124653,YES,125.59,126.15,125.22,
GOLDETF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,821154,YES,146.38,146.94,146.19,
EGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,634380,YES,150.55,151.01,146.16,
GOLDBETA,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,620720,YES,126.80,127.20,-,
AONEGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,439629,YES,14.02,14.12,14.16,
BSLGOLDETF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,290109,YES,132.51,132.95,132.53,
QGOLDHALF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,165964,YES,124.64,125.24,124.86,
LICMFGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,151724,YES,134.60,-,134.42,
IVZINGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,47400,NO,130.85,131.42,130.82,
HSBCGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,27776,NO,130.56,131.49,131.23,
GOLDBND,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,27534,NO,150.49,150.95,151.23,
MOGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,15719,NO,148.85,149.45,148.93,
CHOICEGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,4383,NO,149.57,150.04,149.58,
GOLD360,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,3813,NO,146.55,147.54,-,
TWCGOLDETF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,2812,NO,149.82,150.36,150.36,
BBNPPGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,2777,NO,145.85,146.30,146.30,
UNIONGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,25,25,TIER1,AUTO,1789,NO,146.85,147.92,146.53,
TATSILV,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,33319083,YES,22.01,22.23,21.95,
SILVERBEES,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,13737345,YES,216.69,218.94,216.21,
SILVER1,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,13186412,YES,21.96,22.22,22.00,
SILVERCASE,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,5225578,YES,22.98,23.21,22.95,
SILVERADD,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,4411434,YES,21.81,22.08,21.86,
HDFCSILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,2385099,YES,216.41,218.83,216.01,
SILVERIETF,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,2238306,YES,226.30,228.60,225.40,
GROWWSLVR,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,1344345,YES,22.17,22.44,22.20,
SBISILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,817072,YES,222.25,224.37,221.83,
SILVERBETA,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,763766,YES,218.40,221.04,-,
SILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,521415,YES,226.51,228.66,226.05,
AONESILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,354829,YES,8.68,8.75,8.77,
SILVERAG,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,296566,YES,220.40,222.90,219.88,
SILVERAXIS,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,265264,YES,225.46,227.62,223.64,
ESILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,87265,NO,226.00,228.64,220.97,
MOSILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,21273,NO,224.39,226.31,224.12,
SILVER001,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,15756,NO,22.94,23.13,22.95,
SILVER360,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,5530,NO,223.88,225.26,-,
SILVERBND,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,5427,NO,226.75,229.54,228.20,
LIQUIDCASE,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,25771011,YES,115.96,115.94,115.95,debt/liquid — never traded (D-015)
LIQUIDBEES,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,2962685,YES,"1,000.01","1,000.00","1,000.00",debt/liquid — never traded (D-015)
