SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,VOLUME,LIQUID,TRADABLE,HARVEST_PEERS_TIER1,HARVEST_PEERS_TIER2,HARVEST_VIABLE,LTP,NAV,I_NAV,NOTE
TATAGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,37551457,YES,YES,16,16,TIER1,14.63,14.69,14.56,
GOLDBEES,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,22769280,YES,YES,16,16,TIER1,124.41,124.93,124.52,
GOLDCASE,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,7572400,YES,YES,16,16,TIER1,23.69,23.79,23.68,
GOLDIETF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,6497359,YES,YES,16,16,TIER1,128.84,129.42,128.38,
SETFGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,4118582,YES,YES,16,16,TIER1,128.31,128.85,128.34,
HDFCGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,3431561,YES,YES,16,16,TIER1,128.61,129.12,127.96,
GOLDAXIS,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,2563650,YES,YES,16,16,TIER1,125.22,125.88,123.96,
GROWWGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,2353265,YES,YES,16,16,TIER1,14.69,14.76,14.70,
GOLDADD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,2316676,YES,YES,16,16,TIER1,14.59,14.68,14.64,
GOLD1,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,2124653,YES,YES,16,16,TIER1,125.59,126.15,125.22,
GOLDETF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,821154,YES,YES,16,16,TIER1,146.38,146.94,146.19,
EGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,634380,YES,YES,16,16,TIER1,150.55,151.01,146.16,
GOLDBETA,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,620720,YES,YES,16,16,TIER1,126.80,127.20,-,
AONEGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,439629,YES,YES,16,16,TIER1,14.02,14.12,14.16,
BSLGOLDETF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,290109,YES,YES,16,16,TIER1,132.51,132.95,132.53,
QGOLDHALF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,165964,YES,YES,16,16,TIER1,124.64,125.24,124.86,
LICMFGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,151724,YES,YES,16,16,TIER1,134.60,-,134.42,
IVZINGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,47400,NO,NO,0,0,NO,130.85,131.42,130.82,
HSBCGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,27776,NO,NO,0,0,NO,130.56,131.49,131.23,
GOLDBND,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,27534,NO,NO,0,0,NO,150.49,150.95,151.23,
MOGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,15719,NO,NO,0,0,NO,148.85,149.45,148.93,
CHOICEGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,4383,NO,NO,0,0,NO,149.57,150.04,149.58,
GOLD360,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,3813,NO,NO,0,0,NO,146.55,147.54,-,
TWCGOLDETF,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,2812,NO,NO,0,0,NO,149.82,150.36,150.36,
BBNPPGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,2777,NO,NO,0,0,NO,145.85,146.30,146.30,
UNIONGOLD,COMMODITY,GOLD,COMMODITY,GOLD,GOLD,1789,NO,NO,0,0,NO,146.85,147.92,146.53,
TATSILV,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,33319083,YES,YES,13,13,TIER1,22.01,22.23,21.95,
SILVERBEES,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,13737345,YES,YES,13,13,TIER1,216.69,218.94,216.21,
SILVER1,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,13186412,YES,YES,13,13,TIER1,21.96,22.22,22.00,
SILVERCASE,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,5225578,YES,YES,13,13,TIER1,22.98,23.21,22.95,
SILVERADD,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,4411434,YES,YES,13,13,TIER1,21.81,22.08,21.86,
HDFCSILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,2385099,YES,YES,13,13,TIER1,216.41,218.83,216.01,
SILVERIETF,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,2238306,YES,YES,13,13,TIER1,226.30,228.60,225.40,
GROWWSLVR,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,1344345,YES,YES,13,13,TIER1,22.17,22.44,22.20,
SBISILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,817072,YES,YES,13,13,TIER1,222.25,224.37,221.83,
SILVERBETA,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,763766,YES,YES,13,13,TIER1,218.40,221.04,-,
SILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,521415,YES,YES,13,13,TIER1,226.51,228.66,226.05,
AONESILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,354829,YES,YES,13,13,TIER1,8.68,8.75,8.77,
SILVERAG,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,296566,YES,YES,13,13,TIER1,220.40,222.90,219.88,
SILVERAXIS,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,265264,YES,YES,13,13,TIER1,225.46,227.62,223.64,
ESILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,87265,NO,NO,0,0,NO,226.00,228.64,220.97,
MOSILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,21273,NO,NO,0,0,NO,224.39,226.31,224.12,
SILVER001,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,15756,NO,NO,0,0,NO,22.94,23.13,22.95,
SILVER360,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,5530,NO,NO,0,0,NO,223.88,225.26,-,
SILVERBND,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,5427,NO,NO,0,0,NO,226.75,229.54,228.20,
LIQUIDCASE,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,25771011,YES,NO,0,0,NO,115.96,115.94,115.95,debt/liquid — never traded (D-015)
LIQUIDBEES,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,2962685,YES,NO,0,0,NO,"1,000.01","1,000.00","1,000.00",debt/liquid — never traded (D-015)
LIQUID1,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,1080738,YES,NO,0,0,NO,"1,122.95","1,122.80","1,122.95",debt/liquid — never traded (D-015)
LIQGRWBEES,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,440338,YES,NO,0,0,NO,"1,055.79","1,055.65","1,055.78",debt/liquid — never traded (D-015)
LIQUIDIETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,368412,YES,NO,0,0,NO,"1,000.00","1,000.00","1,000.00",debt/liquid — never traded (D-015)
LTGILTBEES,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,340430,YES,NO,0,0,NO,29.68,29.72,29.71,debt/liquid — never traded (D-015)
LIQUIDADD,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,284924,YES,NO,0,0,NO,"1,145.03","1,144.89","1,145.03",debt/liquid — never traded (D-015)
LIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,250770,YES,NO,0,0,NO,999.99,"1,000.00","1,000.00",debt/liquid — never traded (D-015)
CASHIETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,228889,YES,NO,0,0,NO,"1,079.82","1,079.69","1,079.83",debt/liquid — never traded (D-015)
LIQUIDBETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,228189,YES,NO,0,0,NO,"1,099.07","1,098.93",-,debt/liquid — never traded (D-015)
GROWWLIQID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,154650,YES,NO,0,0,NO,110.78,110.76,110.78,debt/liquid — never traded (D-015)
LTGILTCASE,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,152684,YES,NO,0,0,NO,30.27,30.27,30.24,debt/liquid — never traded (D-015)
LIQUIDPLUS,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,148108,YES,NO,0,0,NO,"1,103.46","1,103.33","1,103.47",debt/liquid — never traded (D-015)
GILT5YBEES,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,114991,YES,NO,0,0,NO,65.82,65.81,65.75,debt/liquid — never traded (D-015)
SBILIQETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,96438,NO,NO,0,0,NO,"1,056.20","1,056.08","1,056.21",debt/liquid — never traded (D-015)
LIQUIDETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,71901,NO,NO,0,0,NO,"1,000.00","1,000.00","1,000.00",debt/liquid — never traded (D-015)
ELIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,32327,NO,NO,0,0,NO,"1,048.00","1,047.86",-,debt/liquid — never traded (D-015)
LIQUIDSBI,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,14603,NO,NO,0,0,NO,"1,000.01","1,000.00","1,000.00",debt/liquid — never traded (D-015)
AONELIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,14434,NO,NO,0,0,NO,"1,077.17","1,077.02","1,077.02",debt/liquid — never traded (D-015)
HDFCLIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,14392,NO,NO,0,0,NO,"1,078.19",-,"1,078.19",debt/liquid — never traded (D-015)
ABSLLIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,12180,NO,NO,0,0,NO,"1,000.01","1,000.00","1,000.00",debt/liquid — never traded (D-015)
LIQUIDSHRI,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,11007,NO,NO,0,0,NO,"1,121.72","1,121.59","1,121.73",debt/liquid — never traded (D-015)
EBBETF0430,DEBT,Bond,EXCLUDED,DEBT,BOND,7020,NO,NO,0,0,NO,"1,607.69","1,609.57","1,610.12",debt/liquid — never traded (D-015)
GSEC10YEAR,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,5046,NO,NO,0,0,NO,30.35,30.24,30.24,debt/liquid — never traded (D-015)
EBBETF0431,DEBT,Bond,EXCLUDED,DEBT,BOND,3663,NO,NO,0,0,NO,"1,430.01","1,433.40","1,432.80",debt/liquid — never traded (D-015)
EBBETF0433,DEBT,Bond,EXCLUDED,DEBT,BOND,3052,NO,NO,0,0,NO,"1,302.01","1,303.08","1,304.22",debt/liquid — never traded (D-015)
LICNETFGSC,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,2724,NO,NO,0,0,NO,29.26,29.25,29.24,debt/liquid — never traded (D-015)
GSEC5IETF,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,2564,NO,NO,0,0,NO,65.62,65.94,65.93,debt/liquid — never traded (D-015)
SETF10GILT,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,1434,NO,NO,0,0,NO,261.38,262.79,262.72,debt/liquid — never traded (D-015)
BBETF0432,DEBT,Bond,EXCLUDED,DEBT,BOND,998,NO,NO,0,0,NO,"1,340.00","1,341.49","1,343.11",debt/liquid — never traded (D-015)
MOGSEC,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,670,NO,NO,0,0,NO,65.38,64.94,64.92,debt/liquid — never traded (D-015)
LIQUIDBETA,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,541,NO,NO,0,0,NO,"1,008.29","1,008.15","1,008.28",debt/liquid — never traded (D-015)
GILT5BETA,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,269,NO,NO,0,0,NO,66.59,65.98,65.96,debt/liquid — never traded (D-015)
GSEC10IETF,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,53,NO,NO,0,0,NO,263.89,262.32,262.31,debt/liquid — never traded (D-015)
GILT10BETA,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,50,NO,NO,0,0,NO,26.65,26.40,26.40,debt/liquid — never traded (D-015)
ABGSEC,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,39,NO,NO,0,0,NO,113.07,113.63,113.67,debt/liquid — never traded (D-015)
GSEC10ABSL,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,5,NO,NO,0,0,NO,112.34,111.78,111.76,debt/liquid — never traded (D-015)
GSEC10ADD,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,NO,NO,0,0,NO,26.30,26.53,26.52,debt/liquid — never traded (D-015)
HYBRIDETF,Hybrid,Equity/Debt,EXCLUDED,HYBRID,EQUITY/DEBT,19385,NO,NO,0,0,NO,9.94,9.86,-,hybrid equity/debt — excluded (D-077)
ALPHAETF,EQUITY,Nifty 200 Alpha 30,FACTOR,ALPHA_LARGECAP200,200 ALPHA 30,738021,YES,YES,0,0,NO,26.00,25.71,26.03,factor split by cap segment (Q-202)
ALPHA,EQUITY,NIFTY Alpha 50,FACTOR,ALPHA_LARGECAP50,ALPHA 50,786376,YES,YES,0,0,NO,53.04,52.37,52.92,factor split by cap segment (Q-202)
MOALPHA50,EQUITY,Nifty Alpha 50,FACTOR,ALPHA_LARGECAP50,ALPHA 50,2418,NO,NO,0,0,NO,55.07,54.35,54.78,factor split by cap segment (Q-202)
DIVIDEND,EQUITY,BSE 500 Dividend Leaders 50,FACTOR,DIVIDEND_BROAD500,500 DIVIDEND LEADERS 50,3816,NO,NO,0,0,NO,34.82,34.65,34.77,factor split by cap segment (Q-202)
DIVOPPBEES,EQUITY,Nifty Dividend Opportunities 50,FACTOR,DIVIDEND_LARGECAP50,DIVIDEND OPPORTUNITIES 50,16908,NO,NO,0,0,NO,75.19,74.51,74.68,factor split by cap segment (Q-202)
ELMDIV,EQUITY,BSE LargeMid (60:40) Stable Dividend 50,FACTOR,DIVIDEND_LARGEMID,LARGEMID (60:40) STABLE DIVIDEND 50,1592,NO,NO,0,0,NO,35.10,35.11,36.05,factor split by cap segment (Q-202)
LARGEMID50,EQUITY,BSE LargeMid (60:40) Stable Dividend 50,FACTOR,DIVIDEND_LARGEMID,LARGEMID (60:40) STABLE DIVIDEND 50,1283,NO,NO,0,0,NO,35.31,35.11,-,factor split by cap segment (Q-202)
NIFTY100EW,EQUITY,Nifty 100 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP100,100 EQUAL WEIGHT,37581,NO,NO,0,0,NO,34.27,33.80,34.07,factor split by cap segment (Q-202)
EQUAL200,EQUITY,BSE 200 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP200,200 EQUAL WEIGHT,41542,NO,NO,0,0,NO,13.44,11.31,-,factor split by cap segment (Q-202)
TOP10ADD,EQUITY,Nifty Top 10 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,TOP 10 EQUAL WEIGHT,453187,YES,YES,0,0,NO,85.50,85.08,85.09,factor split by cap segment (Q-202)
TOP20,EQUITY,Nifty Top 20 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,TOP 20 EQUAL WEIGHT,69451,NO,NO,0,0,NO,8.67,8.61,8.65,factor split by cap segment (Q-202)
TOP15IETF,EQUITY,Nifty Top 15 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,TOP 15 EQUAL WEIGHT,31445,NO,NO,0,0,NO,9.55,9.48,9.49,factor split by cap segment (Q-202)
SBINEQWETF,EQUITY,Nifty 50 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,50 EQUAL WEIGHT,15561,NO,NO,0,0,NO,32.59,32.18,32.41,factor split by cap segment (Q-202)
MON50EQUAL,EQUITY,NIFTY 50 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,50 EQUAL WEIGHT,6362,NO,NO,0,0,NO,32.40,32.12,-,factor split by cap segment (Q-202)
EQUAL50ADD,EQUITY,NIFTY 50 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,50 EQUAL WEIGHT,6248,NO,NO,0,0,NO,334.25,330.81,333.16,factor split by cap segment (Q-202)
EQUAL50,EQUITY,Nifty 50 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,50 EQUAL WEIGHT,528,NO,NO,0,0,NO,323.05,320.26,323.00,factor split by cap segment (Q-202)
ESG,EQUITY,Nifty 100 ESG Sector Leaders,FACTOR,ESG_LARGECAP100,100 ESG SECTOR LEADERS,26115,NO,NO,0,0,NO,40.05,39.83,40.07,factor split by cap segment (Q-202)
