SYMBOL,SCHEME_NAME,AMC,BENCHMARK_INDEX,ISIN,EXPENSE_RATIO,LAUNCH_DATE,UNDERLYING_ASSET,SOURCE,FETCHED_AT,ERROR
ABSL10BANK,,,,,,,,,2026-09-20T14:35:11+00:00,
ABSLBANETF,,,,,,,,,2026-09-20T14:35:11+00:00,
ABSLMSCIN,,,,,,,,,2026-09-20T14:35:11+00:00,
ABSLNN50ET,,,,,,,,,2026-09-20T14:35:11+00:00,
ABSLPSE,,,,,,,,,2026-09-20T14:35:11+00:00,
ALPHA,,,,,,,,,2026-09-20T14:35:11+00:00,
ALPHAETF,,,,,,,,,2026-09-20T14:35:11+00:00,
ALPL30IETF,,,,,,,,,2026-09-20T14:35:11+00:00,
AONEGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
AONENIFTY,,,,,,,,,2026-09-20T14:35:11+00:00,
AONESILVER,,,,,,,,,2026-09-20T14:35:11+00:00,
AONETMMQ50,,,,,,,,,2026-09-20T14:35:11+00:00,
AONETOTAL,,,,,,,,,2026-09-20T14:35:11+00:00,
AUTOBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
AUTOIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
BANK10ADD,,,,,,,,,2026-09-20T14:35:11+00:00,
BANK10BETF,,,,,,,,,2026-09-20T14:35:11+00:00,
BANKADD,,,,,,,,,2026-09-20T14:35:11+00:00,
BANKBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
BANKBETA,,,,,,,,,2026-09-20T14:35:11+00:00,
BANKBETF,,,,,,,,,2026-09-20T14:35:11+00:00,
BANKETF,,,,,,,,,2026-09-20T14:35:11+00:00,
BANKIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
BANKNIFTY1,,,,,,,,,2026-09-20T14:35:11+00:00,
BANKPSU,,,,,,,,,2026-09-20T14:35:11+00:00,
BBNPNBETF,,,,,,,,,2026-09-20T14:35:11+00:00,
BBNPPGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
BFSI,,,,,,,,,2026-09-20T14:35:11+00:00,
BNKETFAXIS,,,,,,,,,2026-09-20T14:35:11+00:00,
BSE500IETF,,,,,,,,,2026-09-20T14:35:11+00:00,
BSLGOLDETF,,,,,,,,,2026-09-20T14:35:11+00:00,
BSLNIFTY,,,,,,,,,2026-09-20T14:35:11+00:00,
BSLSENETFG,,,,,,,,,2026-09-20T14:35:11+00:00,
CEMNTGROWW,,,,,,,,,2026-09-20T14:35:11+00:00,
CHEMICAL,,,,,,,,,2026-09-20T14:35:11+00:00,
CHOICEGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
COMMOIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
CONS,,,,,,,,,2026-09-20T14:35:11+00:00,
CONSUMAXIS,,,,,,,,,2026-09-20T14:35:11+00:00,
CONSUMBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
CONSUMER,,,,,,,,,2026-09-20T14:35:11+00:00,
CONSUMIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
CPSEETF,,,,,,,,,2026-09-20T14:35:11+00:00,
DEFENCE,,,,,,,,,2026-09-20T14:35:11+00:00,
DIVIDEND,,,,,,,,,2026-09-20T14:35:11+00:00,
DIVOPPBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
EBANK10,,,,,,,,,2026-09-20T14:35:11+00:00,
EBANKNIFTY,,,,,,,,,2026-09-20T14:35:11+00:00,
ECAPINSURE,,,,,,,,,2026-09-20T14:35:11+00:00,
EGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
ELM250,,,,,,,,,2026-09-20T14:35:11+00:00,
ELMDIV,,,,,,,,,2026-09-20T14:35:11+00:00,
